Declaration,Occurrences,Frequency
(C),669,0.019298448047077827
run(),351,0.010125194715282986
(int),326,0.009404027000519241
(),309,0.008913632954479894
toString(),294,0.008480932325621646
test(),238,0.006865516644550857
Runnable(),235,0.006778976518779207
(c),163,0.004702013500259621
ButterKnifeProcessor()),114,0.0032885247793226794
(byte),111,0.00320198465355103
assertAbout(javaSource()).that(source),103,0.0029712109848266314
SuppressWarnings("unchecked"),99,0.002855824150464432
TestingLoader(),95,0.0027404373161022326
(float),89,0.002567357064558934
View.OnClickListener(),81,0.0023365833958345354
unbind(),79,0.0022788899786534357
getHeight(),79,0.0022788899786534357
(T),77,0.002221196561472336
.and(),77,0.002221196561472336
(TextView),76,0.002192349852881786
(short),70,0.0020192696013384874
hashCode(),67,0.0019327294755668379
SystemClock.uptimeMillis(),66,0.001903882766976288
.compilesWithoutWarnings(),65,0.0018750360583857381
(true),63,0.0018173426412046386
getPaddingTop(),63,0.0018173426412046386
ArrayFactory(1),61,0.001759649224023539
getWidth(),59,0.0017019558068424392
getPaddingLeft(),59,0.0017019558068424392
get(),56,0.0016154156810707899
OnClickListener(),56,0.0016154156810707899
(DEBUG),55,0.00158656897248024
ServiceBuilder(),54,0.0015577222638896901
instance(),54,0.0015577222638896901
.failsToCompile(),53,0.0015288755552991403
onStart(),52,0.0015000288467085906
size(),52,0.0015000288467085906
accessToken.getRawResponse(),52,0.0015000288467085906
close(),50,0.001442335429527491
TargetApi(Build.VERSION_CODES.HONEYCOMB),49,0.001413488720936941
setUp(),49,0.001413488720936941
CompletedCallback(),48,0.0013846420123463912
getType(),48,0.0013846420123463912
HikariDataSource(config)),48,0.0013846420123463912
(this),47,0.0013557953037558414
getAccessTokenEndpoint(),46,0.0013269485951652917
ds.getConnection()),44,0.001269255177984192
mth.getBasicBlocks()),43,0.0012404084693936421
getCount(),41,0.0011827150522125426
(it.hasNext()),40,0.0011538683436219928
clear(),39,0.001125021635031443
getName(),38,0.001096174926440893
OvershootInterpolator(1f))),38,0.001096174926440893
reset(),37,0.0010673282178503432
(Button),36,0.0010384815092597934
onSaveInstanceState(),35,0.0010096348006692437
(System.currentTimeMillis(),35,0.0010096348006692437
getPaddingRight(),35,0.0010096348006692437
indent(1),34,9.807880920786939E-4
start(),34,9.807880920786939E-4
((InsnWrapArg),33,9.51941383488144E-4
isEmpty(),32,9.230946748975941E-4
getSampleTitle(),32,9.230946748975941E-4
RunWith(JUnit4.class),32,9.230946748975941E-4
(ImageView),32,9.230946748975941E-4
newInstance(),32,9.230946748975941E-4
(insn.getType(),31,8.942479663070444E-4
setup(),31,8.942479663070444E-4
doStuff(),31,8.942479663070444E-4
isRunning(),31,8.942479663070444E-4
stop(),30,8.654012577164945E-4
next(),30,8.654012577164945E-4
onCreate(),30,8.654012577164945E-4
check(),29,8.365545491259447E-4
BindView(1),29,8.365545491259447E-4
tearDown(),28,8.077078405353949E-4
(closed),28,8.077078405353949E-4
getItemCount(),28,8.077078405353949E-4
getDefaultURL(),28,8.077078405353949E-4
getAuthorizationBaseUrl(),28,8.077078405353949E-4
testRun(),28,8.077078405353949E-4
Thread(),27,7.788611319448451E-4
enclosingElement.getQualifiedName(),27,7.788611319448451E-4
if(isRunning()),27,7.788611319448451E-4
isInEditMode()),27,7.788611319448451E-4
.processedWith(daggerProcessors()),27,7.788611319448451E-4
getRequiredProcessorCount(),26,7.500144233542953E-4
onDestroy(),26,7.500144233542953E-4
(Element),26,7.500144233542953E-4
instruction.getOpcode(),26,7.500144233542953E-4
(String),26,7.500144233542953E-4
onDetachedFromWindow(),26,7.500144233542953E-4
getResponseHandler(),25,7.211677147637455E-4
DataCallback(),25,7.211677147637455E-4
(LayoutParams),25,7.211677147637455E-4
TargetApi(Build.VERSION_CODES.JELLY_BEAN),25,7.211677147637455E-4
assertAbout(javaSource()),24,6.923210061731956E-4
e.getMessage(),24,6.923210061731956E-4
ButterKnife.bind(),24,6.923210061731956E-4
provideString(),24,6.923210061731956E-4
getOpacity(),24,6.923210061731956E-4
isRequestHeadersAllowed(),24,6.923210061731956E-4
onResume(),24,6.923210061731956E-4
onPause(),24,6.923210061731956E-4
(RegisterArg),24,6.923210061731956E-4
getPaddingBottom(),24,6.923210061731956E-4
Expectations(),23,6.634742975826459E-4
Retention(CLASS),23,6.634742975826459E-4
(TypeElement),23,6.634742975826459E-4
onAttachedToWindow(),23,6.634742975826459E-4
block.getInstructions()),23,6.634742975826459E-4
(throwException),22,6.34627588992096E-4
OnClick(1),22,6.34627588992096E-4
getConnection(),22,6.34627588992096E-4
(type),22,6.34627588992096E-4
SuppressLint("NewApi"),22,6.34627588992096E-4
.apiKey(clientId),22,6.34627588992096E-4
isRequestBodyAllowed(),22,6.34627588992096E-4
if(getHandler(),21,6.057808804015461E-4
getValue(),21,6.057808804015461E-4
(opcode),21,6.057808804015461E-4
resume(),21,6.057808804015461E-4
ActionListener(),21,6.057808804015461E-4
.apiSecret(clientSecret),21,6.057808804015461E-4
remove(),21,6.057808804015461E-4
event.getX(),21,6.057808804015461E-4
TargetApi(Build.VERSION_CODES.LOLLIPOP),21,6.057808804015461E-4
(event.getAction(),21,6.057808804015461E-4
halt(),21,6.057808804015461E-4
DebouncingOnClickListener(),21,6.057808804015461E-4
pause(),20,5.769341718109964E-4
getResources()),20,5.769341718109964E-4
cls.getMethods()),20,5.769341718109964E-4
runDisruptorPass(),20,5.769341718109964E-4
init(),20,5.769341718109964E-4
isPaused(),20,5.769341718109964E-4
((IndexInsnNode),20,5.769341718109964E-4
resetAnimation(),20,5.769341718109964E-4
TargetApi(Build.VERSION_CODES.ICE_CREAM_SANDWICH),19,5.480874632204465E-4
defaultBaseWidth(),19,5.480874632204465E-4
update(),19,5.480874632204465E-4
build(),18,5.192407546298967E-4
TargetApi(Build.VERSION_CODES.JELLY_BEAN_MR1),18,5.192407546298967E-4
instruction.getRegisterA(),18,5.192407546298967E-4
SuppressWarnings("unused"),18,5.192407546298967E-4
insn.getArguments()),18,5.192407546298967E-4
HttpServerRequestCallback(),18,5.192407546298967E-4
(long),18,5.192407546298967E-4
getRequestTokenEndpoint(),18,5.192407546298967E-4
(mth.isNoCode()),18,5.192407546298967E-4
bounds.height(),18,5.192407546298967E-4
ApplicationTest(),18,5.192407546298967E-4
it.readShort(),17,4.903940460393469E-4
(FieldInfo),17,4.903940460393469E-4
(sIsLogEnabled),17,4.903940460393469E-4
event.getY(),17,4.903940460393469E-4
PtrHandler(),17,4.903940460393469E-4
value(),17,4.903940460393469E-4
(arg.isInsnWrap()),17,4.903940460393469E-4
onStop(),17,4.903940460393469E-4
attrVal(),17,4.903940460393469E-4
(char),17,4.903940460393469E-4
applyStyle(getContext(),17,4.903940460393469E-4
show(),16,4.6154733744879707E-4
(wrap),16,4.6154733744879707E-4
Animation.AnimationListener(),16,4.6154733744879707E-4
(action),16,4.6154733744879707E-4
getInputStream(),16,4.6154733744879707E-4
(IRegion),16,4.6154733744879707E-4
method(),16,4.6154733744879707E-4
getServer(),16,4.6154733744879707E-4
iterator(),15,4.3270062885824727E-4
isRunning()),15,4.3270062885824727E-4
clone(),15,4.3270062885824727E-4
release(),15,4.3270062885824727E-4
(baseFlag),15,4.3270062885824727E-4
SmallPatchedDexItemChooser(),15,4.3270062885824727E-4
(SystemClock.uptimeMillis(),15,4.3270062885824727E-4
getFullPatchSectionBase(),15,4.3270062885824727E-4
isChunked(),15,4.3270062885824727E-4
create(),15,4.3270062885824727E-4
getClass(),15,4.3270062885824727E-4
.that(sourceFile),15,4.3270062885824727E-4
cancel(),15,4.3270062885824727E-4
if(mReverse),15,4.3270062885824727E-4
stack.size(),15,4.3270062885824727E-4
charset(),15,4.3270062885824727E-4
ball.getWidth(),15,4.3270062885824727E-4
AdapterView.OnItemClickListener(),14,4.0385392026769747E-4
html(),14,4.0385392026769747E-4
getMeasuredHeight(),14,4.0385392026769747E-4
AsyncHttpResponseHandler(),14,4.0385392026769747E-4
Builder(),14,4.0385392026769747E-4
length(),14,4.0385392026769747E-4
(Boolean),14,4.0385392026769747E-4
ContinuationCallback(),14,4.0385392026769747E-4
((TextView),14,4.0385392026769747E-4
(Integer),14,4.0385392026769747E-4
(optional),14,4.0385392026769747E-4
if(mIsRtl),14,4.0385392026769747E-4
event.getY())),14,4.0385392026769747E-4
.apiKey(apiKey),14,4.0385392026769747E-4
call(),14,4.0385392026769747E-4
.apiSecret(apiSecret),14,4.0385392026769747E-4
(ViewGroup),14,4.0385392026769747E-4
byteCountInDex(),14,4.0385392026769747E-4
(isCancelled()),14,4.0385392026769747E-4
(insn.getType()),14,4.0385392026769747E-4
getId(),13,3.7500721167714766E-4
Target(METHOD),13,3.7500721167714766E-4
(t.isStartTag(),13,3.7500721167714766E-4
(TextNode),13,3.7500721167714766E-4
getResources(),13,3.7500721167714766E-4
getInstance(),13,3.7500721167714766E-4
File(getContext().getCacheDir(),13,3.7500721167714766E-4
(float)(SystemClock.uptimeMillis(),13,3.7500721167714766E-4
getState(),13,3.7500721167714766E-4
(child.getVisibility(),13,3.7500721167714766E-4
region.getSubBlocks()),13,3.7500721167714766E-4
ItemListener(),13,3.7500721167714766E-4
(event.getAction()),13,3.7500721167714766E-4
getDescription(),13,3.7500721167714766E-4
(Toolbar),13,3.7500721167714766E-4
obj.getClass()),13,3.7500721167714766E-4
((RippleDrawable),13,3.7500721167714766E-4
text(),13,3.7500721167714766E-4
(UltimateRecyclerView),13,3.7500721167714766E-4
end(),13,3.7500721167714766E-4
f(),13,3.7500721167714766E-4
open(),13,3.7500721167714766E-4
.addModifiers(PUBLIC),13,3.7500721167714766E-4
getContentType(),13,3.7500721167714766E-4
getFullName(),13,3.7500721167714766E-4
applicationLike.getApplication(),13,3.7500721167714766E-4
(E),13,3.7500721167714766E-4
isEnabled(),12,3.461605030865978E-4
provideInteger(),12,3.461605030865978E-4
cls.getFields()),12,3.461605030865978E-4
body(),12,3.461605030865978E-4
makePressColor(),12,3.461605030865978E-4
a(),12,3.461605030865978E-4
(secretState.equals(value)),12,3.461605030865978E-4
AdapterView.OnItemSelectedListener(),12,3.461605030865978E-4
assertAbout(javaSources()),12,3.461605030865978E-4
TODO(cgruber),12,3.461605030865978E-4
(RippleManager.class),12,3.461605030865978E-4
(CheckBox),12,3.461605030865978E-4
getView(),12,3.461605030865978E-4
super.toString(),12,3.461605030865978E-4
(filtered),12,3.461605030865978E-4
dismiss(),12,3.461605030865978E-4
.compilesWithoutError(),12,3.461605030865978E-4
.state(secretState),12,3.461605030865978E-4
getAccessTokenVerb(),12,3.461605030865978E-4
if(getParent(),12,3.461605030865978E-4
cls.getInnerClasses()),12,3.461605030865978E-4
(hasError),12,3.461605030865978E-4
isOpen(),12,3.461605030865978E-4
Target(FIELD),12,3.461605030865978E-4
getRippleManager(),12,3.461605030865978E-4
super.isSame(obj)),12,3.461605030865978E-4
file.exists()),12,3.461605030865978E-4
(ProgressBar),12,3.461605030865978E-4
((FragmentActivity),12,3.461605030865978E-4
instructionList.size(),12,3.461605030865978E-4
getPaddingTop()),12,3.461605030865978E-4
AnimatorListenerAdapter(),11,3.17313794496048E-4
onBackPressed(),11,3.17313794496048E-4
Thread.currentThread().isInterrupted()),11,3.17313794496048E-4
annotationClass.getSimpleName(),11,3.17313794496048E-4
(ASF),11,3.17313794496048E-4
isConnected(),11,3.17313794496048E-4
getMeasuredWidth(),11,3.17313794496048E-4
ConnectCallback(),11,3.17313794496048E-4
onShutdown(),11,3.17313794496048E-4
TestEntryPoint(),11,3.17313794496048E-4
onChanged(),11,3.17313794496048E-4
(MarginLayoutParams),11,3.17313794496048E-4
(iterator.hasNext()),11,3.17313794496048E-4
(getClass(),11,3.17313794496048E-4
indent(2),11,3.17313794496048E-4
getLine(),11,3.17313794496048E-4
notifyDataSetChanged(),11,3.17313794496048E-4
recycle(),11,3.17313794496048E-4
ShareTinkerInternals.getTypeString(type),11,3.17313794496048E-4
(EditText),11,3.17313794496048E-4
getIcon(),11,3.17313794496048E-4
getConfig(),11,3.17313794496048E-4
(r.matchesLetter()),11,3.17313794496048E-4
(bb.remaining(),11,3.17313794496048E-4
o.getClass()),11,3.17313794496048E-4
(ListView),11,3.17313794496048E-4
(getChildCount(),11,3.17313794496048E-4
SuppressWarnings("deprecation"),11,3.17313794496048E-4
isShowing(),11,3.17313794496048E-4
getAdapterItemCount(),11,3.17313794496048E-4
getActivity()),11,3.17313794496048E-4
view.getWidth(),11,3.17313794496048E-4
A(),11,3.17313794496048E-4
code.add("),11,3.17313794496048E-4
getContent(getCurrentStackTraceElement()),11,3.17313794496048E-4
isStateful(),11,3.17313794496048E-4
mItems.size(),11,3.17313794496048E-4
(mIsBeingDragged),11,3.17313794496048E-4
readByte(),10,2.884670859054982E-4
(t.isEndTag(),10,2.884670859054982E-4
((View),10,2.884670859054982E-4
child.getLeft(),10,2.884670859054982E-4
(default),10,2.884670859054982E-4
(mode),10,2.884670859054982E-4
load(),10,2.884670859054982E-4
(file.isDirectory()),10,2.884670859054982E-4
(mLock),10,2.884670859054982E-4
(t.isComment()),10,2.884670859054982E-4
hasNext(),10,2.884670859054982E-4
translator.translateTo(get(sequence),10,2.884670859054982E-4
(isEnabled()),10,2.884670859054982E-4
getNormalLayoutResId(),10,2.884670859054982E-4
(CubeImageView),10,2.884670859054982E-4
.addAnnotation(Override.class),10,2.884670859054982E-4
StringCallback(),10,2.884670859054982E-4
parse(),10,2.884670859054982E-4
name(),10,2.884670859054982E-4
block.getSuccessors()),10,2.884670859054982E-4
is((Object),10,2.884670859054982E-4
(state),10,2.884670859054982E-4
(test.Test.thing)"),10,2.884670859054982E-4
insn.getArg(0),10,2.884670859054982E-4
RunWith(JMock.class),10,2.884670859054982E-4
(dlIntent.getPluginPackage(),10,2.884670859054982E-4
makeString(),10,2.884670859054982E-4
SuperficialValidation.validateElement(element)),10,2.884670859054982E-4
RequiresApi(Build.VERSION_CODES.ICE_CREAM_SANDWICH),10,2.884670859054982E-4
toggle(),10,2.884670859054982E-4
((ViewGroup),9,2.5962037731494834E-4
(list.size(),9,2.5962037731494834E-4
(Logger),9,2.5962037731494834E-4
SystemClock.elapsedRealtime(),9,2.5962037731494834E-4
addButtonTrigger(),9,2.5962037731494834E-4
event.getAction(),9,2.5962037731494834E-4
(test.Test.doStuff)"),9,2.5962037731494834E-4
(cursorSequence.get(),9,2.5962037731494834E-4
getJParent(),9,2.5962037731494834E-4
(isWhitespace(t)),9,2.5962037731494834E-4
Thread.currentThread()),9,2.5962037731494834E-4
((long),9,2.5962037731494834E-4
ViewTreeObserver.OnGlobalLayoutListener(),9,2.5962037731494834E-4
(heightMode),9,2.5962037731494834E-4
(item.getItemId()),9,2.5962037731494834E-4
(enableLoadMore(),9,2.5962037731494834E-4
((event.getX(),9,2.5962037731494834E-4
getDataCallback(),9,2.5962037731494834E-4
(FormElement),9,2.5962037731494834E-4
(hasHeaderView()),9,2.5962037731494834E-4
child.getRight(),9,2.5962037731494834E-4
(SavedState),9,2.5962037731494834E-4
getHeaders(),9,2.5962037731494834E-4
((RegisterArg),9,2.5962037731494834E-4
onFireRefresh(),9,2.5962037731494834E-4
onGlobalLayout(),9,2.5962037731494834E-4
onLoadmore(),9,2.5962037731494834E-4
(file.exists()),9,2.5962037731494834E-4
(RecyclerView),9,2.5962037731494834E-4
child.getBottom(),9,2.5962037731494834E-4
(success),9,2.5962037731494834E-4
readFullyOnRequest(),9,2.5962037731494834E-4
(BlockNode),9,2.5962037731494834E-4
patchFile.getAbsolutePath(),9,2.5962037731494834E-4
getWriteableCallback(),9,2.5962037731494834E-4
(test.Test.one)"),9,2.5962037731494834E-4
(t.isDoctype()),9,2.5962037731494834E-4
(tb.inButtonScope("p")),9,2.5962037731494834E-4
removeButtonTrigger(),9,2.5962037731494834E-4
elementToString(element),9,2.5962037731494834E-4
getClosedCallback(),9,2.5962037731494834E-4
(getPullToRefreshScrollDirection()),9,2.5962037731494834E-4
getContext(),9,2.5962037731494834E-4
onFinish(),9,2.5962037731494834E-4
LayoutParams(getContext(),9,2.5962037731494834E-4
getPaddingLeft()),9,2.5962037731494834E-4
(Sample),9,2.5962037731494834E-4
Integer.toHexString(System.identityHashCode(this)),9,2.5962037731494834E-4
getDuration(),8,2.3077366872439854E-4
toArray(),8,2.3077366872439854E-4
getSocket(),8,2.3077366872439854E-4
dependentSequence.get()),8,2.3077366872439854E-4
mItems.get(itemIndex),8,2.3077366872439854E-4
getAllocationByteCount(),8,2.3077366872439854E-4
HikariDataSource()),8,2.3077366872439854E-4
setupWindowAnimations(),8,2.3077366872439854E-4
(int)(mBackground.getCenterY(),8,2.3077366872439854E-4
isCancelled(),8,2.3077366872439854E-4
(widthMode),8,2.3077366872439854E-4
getAdapter(),8,2.3077366872439854E-4
if(ref.get(),8,2.3077366872439854E-4
getCursor(),8,2.3077366872439854E-4
(ViewHolder),8,2.3077366872439854E-4
finish(),8,2.3077366872439854E-4
child.getMeasuredWidth(),8,2.3077366872439854E-4
tb.currentElement().nodeName().equals(name)),8,2.3077366872439854E-4
getContent(),8,2.3077366872439854E-4
file.length(),8,2.3077366872439854E-4
execute(),8,2.3077366872439854E-4
map.entrySet()),8,2.3077366872439854E-4
(float)Math.sin(angle),8,2.3077366872439854E-4
Assert.assertEquals(Redirect.Status.USE_PROXY.intValue(),8,2.3077366872439854E-4
getScreenHeight(),8,2.3077366872439854E-4
(Math.abs(deltaX),8,2.3077366872439854E-4
doWork(),8,2.3077366872439854E-4
motionEvent.getRawX(),8,2.3077366872439854E-4
prepare(),8,2.3077366872439854E-4
tryNext(),8,2.3077366872439854E-4
(swap),8,2.3077366872439854E-4
getPullToRefreshScrollDirection(),8,2.3077366872439854E-4
(k),8,2.3077366872439854E-4
ev.getAction(),8,2.3077366872439854E-4
write((short),8,2.3077366872439854E-4
outerHtml(),8,2.3077366872439854E-4
getRight(),8,2.3077366872439854E-4
signalAllWhenBlocking(),8,2.3077366872439854E-4
FieldResourceBinding(getId(id),8,2.3077366872439854E-4
SelectCallback(),8,2.3077366872439854E-4
str.length(),8,2.3077366872439854E-4
headers(),8,2.3077366872439854E-4
(getWidth(),8,2.3077366872439854E-4
getAlias(),8,2.3077366872439854E-4
(this.hasPromoter),8,2.3077366872439854E-4
in.read(buffer)),8,2.3077366872439854E-4
(float)Math.cos(angle),8,2.3077366872439854E-4
(PtrFrameLayout),8,2.3077366872439854E-4
getNumberOfFrames(),8,2.3077366872439854E-4
Retention(RUNTIME),8,2.3077366872439854E-4
getAutoLayoutInfo(),8,2.3077366872439854E-4
((ViewHolder),8,2.3077366872439854E-4
isClosed(),8,2.3077366872439854E-4
baseString(),8,2.3077366872439854E-4
test2(),8,2.3077366872439854E-4
runQueuePass(),8,2.3077366872439854E-4
(RecyclerView.LayoutParams),8,2.3077366872439854E-4
in.readByte(),8,2.3077366872439854E-4
name.length(),8,2.3077366872439854E-4
initView(),8,2.3077366872439854E-4
removeFirst(),8,2.3077366872439854E-4
System.currentTimeMillis(),8,2.3077366872439854E-4
(PtrClassicFrameLayout),8,2.3077366872439854E-4
